Name,Position,GS,GS/GP,GP,Total Mins,Total Points,MPG,PPG,FG %,Salaries
Ishmail Wainright,SF,0,0,40,288,68,7.2,1.7,34.2,375000
Duane Washington Jr.,PG,7,0.175,40,800,388,20,9.7,40.1,462629
Derrick Favors,C,18,0.461538462,39,651.3,206,16.7,5.3,51.6,9720900
Davon Reed,SG,5,0.128205128,39,534.3,167,13.7,4.3,49.6,286164
Greg Brown,SF,0,0,38,414.2,144,10.9,3.8,41.3,925258
Trey Burke,PG,0,0,38,414.2,205,10.9,5.4,39.9,3150000
DeMarcus Cousins,C,6,0.157894737,38,596.6,349,15.7,9.2,44.1,431684
Kessler Edwards,SF,20,0.526315789,38,817,231,21.5,6.1,41.1,462629
Stanley Johnson,SF,21,0.552631579,38,817,235,21.5,6.2,47.1,888616
Daniel Theis,C,21,0.552631579,38,744.8,277,19.6,7.3,49.5,8280351
Kent Bazemore,SF,14,0.378378378,37,518,133,14,3.6,33.6,1669178
Nicolas Claxton,C,19,0.513513514,37,765.9,321,20.7,8.7,65.1,1782621
Anthony Davis,C,37,1,37,1295,854,35,23.1,53.7,35361360
Draymond Green,PF,35,0.945945946,37,1080.4,281,29.2,7.6,52.9,24026712
Larry Nance Jr.,PF,11,0.297297297,37,858.4,255,23.2,6.9,51.5,10690909
Onyeka Okongwu,C,6,0.162162162,37,765.9,325,20.7,8.8,69.9,6104280
Dennis Smith Jr.,PG,4,0.108108108,37,636.4,207,17.2,5.6,41.8,1789256
Kemba Walker,PG,37,1,37,947.2,429,25.6,11.6,40.3,8729020
Danuel House Jr.,SF,5,0.138888889,36,583.2,201,16.2,5.6,40.9,565986
Sandro Mamukelashvili,PF,2,0.055555556,36,327.6,111,9.1,3.1,47.7,462629
Killian Tillie,PF,3,0.083333333,36,460.8,118,12.8,3.3,33.9,1901625
Malcolm Brogdon,PG,36,1,36,1206,687,33.5,19.1,44.8,21700000
Jared Butler,PG,1,0.027777778,36,288,133,8,3.7,41.8,925258
Lance Stephenson,SG,1,0.027777778,36,651.6,280,18.1,7.8,44.9,642729
Lonzo Ball,PG,35,1,35,1211,455,34.6,13,42.3,18604651
Iggy Brazdeikis,SF,0,0,35,322,112,9.2,3.2,41.2,898310
Justin Champagnie,SF,0,0,35,273,77,7.8,2.2,46.2,462629
Enes Freedom,C,1,0.028571429,35,409.5,129,11.7,3.7,52.6,1669178
Alex Len,C,10,0.285714286,35,574,213,16.4,6.1,52.5,3732000
Isaiah Roby,C,18,0.514285714,35,651,283,18.6,8.1,50,1782621
Rajon Rondo,PG,1,0.028571429,35,633.5,171,18.1,4.9,38.2,1669178
Gary Clark,SF,1,0.029411765,34,329.8,85,9.7,2.5,35.5,377645
Anthony Gill,PF,0,0,34,275.4,112,8.1,3.3,60,1517981
Nathan Knight,PF,2,0.058823529,34,241.4,115,7.1,3.4,49.3,462629
Saben Lee,PG,0,0,34,520.2,173,15.3,5.1,38.7,1489065
Kelly Olynyk,PF,1,0.029411765,34,649.4,302,19.1,8.9,43.1,12195122
Ricky Rubio,PG,8,0.235294118,34,969,445,28.5,13.1,36.3,17800000
Alex Caruso,SG,10,0.303030303,33,914.1,267,27.7,8.1,41.7,8650651
Donte DiVincenzo,SG,1,0.03030303,33,745.8,267,22.6,8.1,33.7,4675830
Yuta Watanabe,SF,4,0.121212121,33,409.2,148,12.4,4.5,42.3,1762796
Jarrett Culver,SG,0,0,32,275.2,108,8.6,3.4,39.8,6395160
Paul Millsap,PF,1,0.03125,32,364.8,115,11.4,3.6,39.5,1669178
Paul Reed,SF,2,0.0625,32,246.4,67,7.7,2.1,45.6,1517981
Day'Ron Sharpe,C,8,0.25,32,390.4,198,12.2,6.2,57.7,2009040
Moses Brown,C,1,0.032258065,31,198.4,96,6.4,3.1,52.4,1701593
Chris Chiozza,PG,1,0.032258065,31,337.9,62,10.9,2,30.1,1576305
Luka Garza,C,5,0.161290323,31,356.5,167,11.5,5.4,45,925258
Rui Hachimura,PF,2,0.064516129,31,626.2,316,20.2,10.2,49.6,4916160
Juancho Hernangomez,PF,4,0.129032258,31,257.3,52,8.3,1.7,26.8,6907815
Miles McBride,PG,2,0.064516129,31,266.6,55,8.6,1.8,27,925258
Admiral Schofield,SG,1,0.032258065,31,331.7,102,10.7,3.3,45.3,1517981
Leandro Bolmaro,SG,2,0.066666667,30,210,36,7,1.2,28.6,2353320
Terence Davis,SF,11,0.366666667,30,537,312,17.9,10.4,42.3,4000000
Isaiah Jackson,PF,12,0.4,30,408,231,13.6,7.7,55.9,2451240
Kelan Martin,SG,1,0.033333333,30,450,171,15,5.7,40.9,1701593
Jericho Sims,C,0,0,30,303,42,10.1,1.4,66.7,0
Brandon Goodwin,PG,5,0.172413793,29,440.8,145,15.2,5,41.4,1701593
Markus Howard,PG,0,0,29,147.9,101,5.1,3.5,37.8,535294
Jake Layman,SF,1,0.034482759,29,200.1,60,6.9,2.1,38.3,3940185
Damian Lillard,PG,29,1,29,1055.6,696,36.4,24,40.2,39344900
Robin Lopez,C,9,0.310344828,29,501.7,220,17.3,7.6,56.5,5000000
Bismack Biyombo,C,3,0.107142857,28,389.2,165,13.9,5.9,60.4,863368
James Bouknight,SG,0,0,28,296.8,140,10.6,5,35.3,4154400
Semi Ojeleye,PF,0,0,28,392,95,14,3.4,31.9,1669178
JT Thor,PF,0,0,28,246.4,64,8.8,2.3,44.4,1250000
Santi Aldama,PF,0,0,27,278.1,89,10.3,3.3,38.1,1994520
Elijah Hughes,SG,3,0.111111111,27,270,81,10,3,32.6,1517981
Keifer Sykes,PG,10,0.37037037,27,477.9,151,17.7,5.6,35.2,558345
Cody Zeller,C,0,0,27,353.7,140,13.1,5.2,56.7,2389641
Paul George,SF,26,1,26,923,642,35.5,24.7,42.1,39344900
Andre Iguodala,SG,0,0,26,517.4,106,19.9,4.1,39.2,1669178
Ed Davis,PF,3,0.115384615,26,184.6,28,7.1,1.1,68.8,1669178
Bruno Fernando,PF,0,0,26,106.6,54,4.1,2.1,62.2,1782621
Keon Johnson,SG,2,0.076923077,26,371.8,130,14.3,5,32.1,2553120
Derrick Rose,PG,4,0.153846154,26,637,312,24.5,12,44.5,13445120
Dillon Brooks,SF,24,0.96,25,687.5,442,27.5,17.7,42.1,12200000
Marquese Chriss,SF,0,0,25,280,127,11.2,5.1,47.3,958529
Kevin Knox II,SF,0,0,25,187.5,65,7.5,2.6,32.8,5845979
Skylar Mays,SG,5,0.2,25,210,80,8.4,3.2,51.6,50000
Nerlens Noel,C,11,0.44,25,562.5,85,22.5,3.4,53.3,8000000
Justin Robinson,PG,0,0,25,305,77,12.2,3.1,30.1,1399637
Klay Thompson,SG,25,1,25,695,452,27.8,18.1,41.2,37980720
Kira Lewis Jr.,PG,0,0,24,340.8,141,14.2,5.9,40.4,3822240
T.J. McConnell,PG,6,0.25,24,580.8,201,24.2,8.4,50.3,7500000
Kevin Pangos,PG,3,0.125,24,165.6,38,6.9,1.6,32.6,1669178
Denzel Valentine,SG,0,0,24,223.2,69,9.3,2.9,37.9,1939350
Charles Bassey,C,0,0,23,167.9,69,7.3,3,63.8,925258
Alize Johnson,PF,0,0,23,167.9,41,7.3,1.8,43.6,705598
Terry Taylor,SF,3,0.130434783,23,425.5,200,18.5,8.7,64.4,342984
Brad Wanamaker,PG,2,0.086956522,23,319.7,82,13.9,3.6,36.4,705598
Trevor Ariza,SF,10,0.454545455,22,415.8,83,18.9,3.8,34.1,1669178
Thomas Bryant,C,9,0.409090909,22,385,184,17.5,8.4,52.9,8666667
Joe Wieskamp,SG,0,0,22,132,50,6,2.3,43.6,202068
David Duke,PG,7,0.333333333,21,340.2,105,16.2,5,36.1,462629
KZ Okpala,SF,0,0,21,243.6,77,11.6,3.7,43.5,1782621
Keljin Blevins,SG,1,0.05,20,166,50,8.3,2.5,39.1,449115
Charlie Brown,SG,2,0.1,20,174,30,8.7,1.5,25.6,217844
Willie Cauley-Stein,C,2,0.1,20,184,34,9.2,1.7,45.7,4100000
Vit Krejci,PG,0,0,20,352,88,17.6,4.4,43.1,925258
Tyler Cook,PF,2,0.105263158,19,195.7,64,10.3,3.4,61.1,1701593
Kyle Guy,SG,0,0,19,186.2,74,9.8,3.9,40,383079
Sam Hauser,SF,0,0,19,87.4,32,4.6,1.7,40.7,313737
Kyrie Irving,PG,19,1,19,685.9,526,36.1,27.7,49,35328700
Kai Jones,PF,0,0,19,58.9,20,3.1,1.1,61.5,2770560
Jahmi'us Ramsey,SG,0,0,19,134.9,60,7.1,3.2,41.4,1517981
Zach Collins,PF,2,0.111111111,18,293.4,109,16.3,6.1,43.8,7000000
PJ Dozier,SG,0,0,18,340.2,97,18.9,5.4,36.4,1910860
Boban Marjanovic,C,0,0,18,100.8,81,5.6,4.5,62.1,3500000
Jay Scrubb,SG,0,0,18,120.6,48,6.7,2.7,39.1,449115
Udoka Azubuike,C,6,0.352941176,17,195.5,79,11.5,4.7,75.5,2075880
Goran Dragic,PG,8,0.470588235,17,397.8,129,23.4,7.6,37.6,460463
Malcolm Hill,SG,0,0,17,197.2,69,11.6,4.1,46.9,324373
Jalen Johnson,SF,0,0,17,69.7,28,4.1,1.7,50,2659580
Alfonzo McKinnie,SF,3,0.176470588,17,205.7,59,12.1,3.5,39.3,1090007
Lindy Waters III,SF,1,0.058823529,17,287.3,96,16.9,5.7,37.9,159527
Wenyen Gabriel,PF,2,0.125,16,180.8,70,11.3,4.4,41.7,506530
Usman Garuba,PF,0,0,16,112,22,7,1.4,36,2353320
Miye Oni,SG,0,0,16,44.8,4,2.8,0.3,22.2,1782621
Theo Pinson,SG,0,0,16,120,28,7.5,1.8,28.1,440710
Mychal Mulder,SG,2,0.133333333,15,195,55,13,3.7,29.9,1782621
Olivier Sarr,F,2,0.133333333,15,231,66,15.4,4.4,53.1,53176
Isaac Bonga,SF,0,0,15,69,12,4.6,0.8,23.1,1669178
Daishen Nix,PG,0,0,15,156,52,10.4,3.5,50,282466
Javonte Smart,PG,1,0.066666667,15,163.5,31,10.9,2.1,23.9,265878
Lindell Wigginton,SG,0,0,15,121.5,46,8.1,3.1,46.9,1005000
Bol Bol,C,0,0,14,81.2,33,5.8,2.4,55.6,2161152
Vlatko Cancar,SF,1,0.071428571,14,152.6,60,10.9,4.3,56.4,1782621
Joe Harris,SG,14,1,14,418.6,158,29.9,11.3,45.2,17357143
Haywood Highsmith,SG,0,0,14,106.4,26,7.6,1.9,34.6,290967
Markieff Morris,PF,0,0,14,252,109,18,7.8,47.4,1669178
Abdel Nader,SF,0,0,14,145.6,33,10.4,2.4,34.3,2000000
Brandon Williams,G,8,0.571428571,14,357,204,25.5,14.6,41.2,10500000
Petr Cornelie,PF,0,0,13,37.7,14,2.9,1.1,33.3,218021
Mamadi Diakite,C,3,0.230769231,13,188.5,55,14.5,4.3,53.2,1517981
Solomon Hill,SF,1,0.076923077,13,139.1,7,10.7,0.6,15,1669178
Isaiah Livers,SF,0,0,13,214.5,62,16.5,4.8,40,1057260
Malik Fitts,PF,0,0,12,45.6,9,3.8,0.8,23.1,231062
Tim Frazier,PG,3,0.25,12,207.6,39,17.3,3.3,31.1,128963
Marcus Garrett,PG,0,0,12,128.4,13,10.7,1.1,23.8,236632
Jabari Parker,PF,0,0,12,111.6,52,9.3,4.4,47.4,1669178
Isaiah Thomas,PG,1,0.083333333,12,208.8,111,17.4,9.3,39.4,276039
Robert Woodard II,SF,0,0,12,42,7,3.5,0.6,12.5,1517981
Devontae Cacok,PF,0,0,11,92.4,39,8.4,3.6,69.2,364353
Sharife Cooper,PG,0,0,11,35.2,6,3.2,0.6,21.4,462629
Devon Dotson,PG,0,0,11,84.7,28,7.7,2.6,47.8,449115
Tacko Fall,C,1,0.090909091,11,59.4,12,5.4,1.1,41.7,653924
RJ Nembhard,PG,0,0,11,56.1,15,5.1,1.4,40,58493
Myles Powell,PG,0,0,11,51.7,13,4.7,1.2,29.4,300443
Collin Sexton,SG,11,1,11,315.7,176,28.7,16,45,6439671
Udonis Haslem,PF,0,0,10,59,28,5.9,2.8,52.2,1669178
Louis King,SF,0,0,10,104,45,10.4,4.5,31.9,49222
Greg Monroe,C,0,0,10,150,55,15,5.5,54.5,1701537
Trevelin Queen,SG,0,0,10,74,43,7.4,4.3,45.5,898310
Neemias Queta,C,0,0,10,56,21,5.6,2.1,39.1,462629
Chris Silva,PF,0,0,10,91,26,9.1,2.6,53.3,992450
Markelle Fultz,PG,0,0,9,162,80,18,8.9,45.1,16500000
Freddie Gillespie,PF,2,0.222222222,9,118.8,20,13.2,2.3,40.9,1860680
Georgios Kalaitzakis,SF,0,0,9,47.7,16,5.3,1.8,45.5,925258
Frank Kaminsky,PF,0,0,9,180.9,95,20.1,10.6,54.5,1669178
Jamorko Pickett,SF,0,0,9,89.1,18,9.9,2,29.2,462629
Michael Porter Jr.,SF,9,1,9,264.6,89,29.4,9.9,35.9,5258735
Marko Simonovic,C,0,0,9,35.1,17,3.9,1.9,26.7,925258
Cassius Stanley,SG,1,0.111111111,9,154.8,52,17.2,5.8,41.3,85578
Brodric Thomas,SG,0,0,9,44.1,12,4.9,1.4,38.5,898310
Paul Watson Jr.,SF,3,0.333333333,9,155.7,30,17.3,3.4,34.3,1573645
Quinndary Weatherspoon,SG,0,0,9,68.4,29,7.6,3.3,60,449115
Justin Anderson,SG,1,0.125,8,123.2,40,15.4,5.1,39.4,111457
Hassani Gravett,SG,3,0.375,8,171.2,50,21.4,6.3,47.4,106352
Luke Kornet,C,0,0,8,36.8,4,4.6,0.5,10,565986
Yves Pons,SG,0,0,8,28.8,4,3.6,0.6,50,426629
Nik Stauskas,SG,0,0,7,35,14,5,2.1,33.3,1308728
Joel Ayayi,SG,0,0,7,20.3,2,2.9,0.3,16.7,426629
Gabriel Deck,SF,0,0,7,56,18,8,2.6,57.1,3676852
James Ennis III,SF,0,0,7,56,28,8,4.1,45.8,386127
Langston Galloway,SG,0,0,7,107.1,14,15.3,2,23.1,386127
Justin Jackson,SF,0,0,7,35.7,14,5.1,2.1,33.3,5029650
Aaron Henry,SF,0,0,6,16.8,1,2.8,0.3,20,223338
Chandler Hutchison,SF,0,0,6,22.2,4,3.7,0.7,50,4019459
Tyler Johnson,SG,0,0,6,91.2,16,15.2,2.8,30,2029000
Dakota Mathias,SG,0,0,6,16.2,6,2.7,1,33.3,85578
Sam Merrill,SG,0,0,6,58.2,25,9.7,4.2,33.3,1517981
Xavier Moon,G,0,0,6,82.8,33,13.8,5.5,41.2,53176
Patrick Williams,PF,5,0.833333333,6,144,40,24,6.7,51.6,7422000
Ryan Arcidiacono,G,0,0,5,16,6,3.2,1.2,66.7,546800
Chaundee Brown Jr.,SG,2,0.4,5,104,31,20.8,6.2,31.3,146234
Vernon Carey Jr.,C,1,0.2,5,18,8,3.6,1.6,50,1517981
Jeff Dowtin,PG,0,0,5,31,6,6.2,1.2,42.9,53176
Kris Dunn,PG,0,0,5,123,35,24.6,7,44.1,5005350
Aleem Ford,F,0,0,5,74,14,14.8,2.8,30,53176
Carlik Jones,PG,0,0,5,23,4,4.6,0.8,11.1,53176
Tyrone Wallace,SG,0,0,5,72,17,14.4,3.4,35,198760
Cassius Winston,PG,0,0,5,27,10,5.4,2,50,449115
Jay Huff,C,0,0,4,20,0,5,0,0,225997
BJ Johnson,SF,0,0,4,65.2,26,16.3,6.5,44,1445697
George King,SF,0,0,4,19.2,1,4.8,0.3,0,77250
Brook Lopez,C,2,0.5,4,79.2,32,19.8,8,40.7,13302325
JaQuori McLaughlin,PG,0,0,4,11.2,0,2.8,0,0,220679
Victor Oladipo,SG,0,0,4,65.2,22,16.3,5.5,45,1669178
Eugene Omoruyi,SF,0,0,4,18,7,4.5,1.8,40,281831
Xavier Sneed,SF,0,0,4,19.2,3,4.8,0.8,33.3,146233
D.J. Wilson,PF,1,0.25,4,54,30,13.5,7.5,73.3,308493
Darren Collison,PG,0,0,3,36.9,3,12.3,1.3,28.6,151821
Jarron Cumberland,SG,0,0,3,12,2,4,0.7,50,53176
Cheick Diallo,PF,0,0,3,30.9,11,10.3,3.7,37.5,1573926
Wes Iwundu,SF,1,0.333333333,3,81.9,21,27.3,7.3,44.4,1824003
DaQuan Jeffries,SG,0,0,3,9,2,3,0.7,50,19804
Brandon Knight,PG,0,0,3,54.9,30,18.3,10,45,9456956
Cameron McGriff,SF,0,0,3,45.9,14,15.3,4.7,35.7,53176
Jaylen Morris,SG,0,0,3,15.9,2,5.3,0.7,0,95930
Daniel Oturu,C,0,0,3,27,9,9,3,50,1517981
Norvel Pelle,C,0,0,3,18.9,6,6.3,2,60,217845
Reggie Perry,PF,0,0,3,51,12,17,4.3,50,489148
Micah Potter,PF,0,0,3,30.9,12,10.3,4,45.5,53176
"Wayne, Selden Jr.",SG,0,0,3,18.9,5,6.3,1.7,25,785102
Deividas Sirvydis,SG,0,0,3,27,3,9,1,10,1517981
Craig Sword,G,0,0,3,18.9,6,6.3,2,75,53176
Emanuel Terry,PF,0,0,3,18,0,6,0,0,47370
Jon Teske,C,0,0,3,8.1,0,2.7,0,0,53176
Rayjon Tucker,SG,0,0,3,29.1,6,9.7,2,50,191860
Tremont Waters,PG,0,0,3,50.1,9,16.7,3.3,28.6,79568
McKinley Wright IV,PG,0,0,3,9,5,3,1.7,66.7,462629
Derrick Walton,PG,3,1,3,108,18,36,6.3,23.1,571745
Paris Bass,F,0,0,2,7,6,3.5,3,33.3,106352
Shaq Buchanan,PG,0,0,2,10,2,5,1,25,53176
Damyean Dotson,SG,0,0,2,21,4,10.5,2,50,1517363
Sekou Doumbouya,SF,0,0,2,16,14,8,7,62.5,3613680
Rob Edwards,SG,0,0,2,11,3,5.5,1.5,25,53176
Jordan Goodwin,SG,0,0,2,6,0,3,0,0,53176
Jared Harper,PG,0,0,2,10,7,5,3.5,42.9,85081
Shaquille Harrison,PG,0,0,2,23,4,11.5,2,33.3,842166
Nate Hinton,SG,0,0,2,2,0,1,0,0,449115
David Johnson,SG,0,0,2,2,0,1,0,0,462629
Mason Jones,SG,0,0,2,9,5,4.5,2.5,25,295125
Jemerrio Jones,SF,0,0,2,15,4,7.5,2,66.7,85578
Braxton Key,G,0,0,2,6,2,3,1,50,53176
Anthony Lamb,SF,0,0,2,8,0,4,0,0,215330
Scottie Lewis,SG,0,0,2,7,1,3.5,0.5,0,426629
Marcos Louzada Silva,SG,0,0,2,7,0,3.5,0,0,1786878
Emmanuel Mudiay,PG,0,0,2,11,3,5.5,1.5,0,1628573
Cameron Oliver,PF,0,0,2,43,23,21.5,11.5,66.7,43070
Jordan Schakel,SF,0,0,2,14,0,7,0,0,53176
Tre Scott,SF,0,0,2,11,6,5.5,3,50,53176
Jaden Springer,SG,0,0,2,6,2,3,1,100,2023800
Tyrell Terry,PG,0,0,2,3,2,1.5,1,100,1517981
M.J. Walker,SG,0,0,2,8,0,4,0,0,53176
Jordan Bell,PF,0,0,1,2,0,2,0,0,580062
Ahmad Caver,PG,0,0,1,1,2,1,2,100,53176
Zylan Cheatham,SF,0,0,1,5,0,5,0,0,1445697
Javin DeLaurier,PF,0,0,1,3,0,3,0,0,898310
Sam Dekker,SF,0,0,1,1,0,1,0,0,1669178
Jaime Echenique,C,0,0,1,3,0,3,0,0,53176
Tyler Hall,SG,0,0,1,2,0,2,0,0,25000
Jaylen Hoard,SF,0,0,1,2,0,2,0,0,129209
Scotty Hopson,SG,0,0,1,18,4,18,4,50,99380
DeJon Jarreau,PG,0,0,1,1,0,1,0,0,119645
Joe Johnson,SG,0,0,1,2,2,2,2,100,220000
Arnoldas Kulboka,SF,0,0,1,3,0,3,0,0,462629
Mac McClung,PG,0,0,1,3,2,3,2,100,106352
C.J. Miles,SG,0,0,1,2,0,2,0,0,151821
Matt Mooney,SG,0,0,1,2,0,2,0,0,79568
Juwan Morgan,SF,0,0,1,27,5,27,5,66.7,1517981
Ade Murkey,SG,0,0,1,1,0,1,0,0,53176
Malik Newman,SG,0,0,1,8,8,8,8,60,85578
Jaysean Paige,PG,0,0,1,7,0,7,0,0,53176
Trayvon Palmer,G,0,0,1,17,0,17,0,0,531760
Moses Wright,PF,0,0,1,1,0,1,0,0,172821
John Wall,PG,40,1,40,1288,292,32.2,7.3,40.4,44310840
Kawhi Leonard,SF,52,1,52,1773.2,462.8,34.1,8.9,51.2,39344900
Ben Simmons,PG,58,1,58,1879.2,324.8,32.4,5.6,55.7,33003936
Jamal Murray,PG,48,1,48,1704,379.2,35.5,7.9,47.7,29467800
Marcus Morris Sr.,PF,29,0.50877193,57,1504.8,273.6,26.4,4.8,47.3,15627907
T.J. Warren,SF,4,1,4,117.2,27.2,29.3,6.8,52.9,12690000
Zion Williamson,PF,61,1,61,2025.2,634.4,33.2,10.4,61.1,10733400
James Wiseman,C,27,0.692307692,39,834.6,448.5,21.4,11.5,51.9,9166800
RJ Barrett,SF,67,1,67,2324.9,462.3,34.7,6.9,40.9,8623920
Dario Saric,C,4,0.08,50,870,155,17.4,3.1,44.7,8510000
Aron Baynes,C,31,0.58490566,53,980.5,132.5,18.5,2.5,44.1,7350000
Kendrick Nunn,PG,44,0.785714286,56,1652,330.4,29.5,5.9,45.8,5000000
Dante Exum,SG,3,0.5,6,115.8,10.2,19.3,1.7,38.5,5000000
Luca Vildoza,G,14,0.518518519,27,621,294.3,23,10.9,42,3325000
Michael Carter-Williams,SG,25,0.806451613,31,799.8,105.4,25.8,3.4,38.9,3300000
Luka Samanic,PF,4,0.121212121,33,306.9,46.2,9.3,1.4,44.8,2959080
Marc Gasol,C,42,0.807692308,52,993.2,88.4,19.1,1.7,45.4,2692991
Anthony Tolliver,PF,0,0,11,99,4.4,9,0.4,23.5,2692991
Edmond Sumner,SG,24,0.452830189,53,858.6,148.4,16.2,2.8,52.5,2320000
Jahlil Okafor,C,2,0.074074074,27,348.3,62.1,12.9,2.3,61.8,2130023
Bones Hyland,PG,3,0.047619048,63,1165.5,617.4,18.5,9.8,40,2096880
Cam Thomas,SG,2,0.032258065,62,1122.2,545.6,18.1,8.8,43.4,2036280
Jontay Porter,PF,0,0,11,53.9,22,4.9,2,53.3,1950000
P.J. Dozier,SG,0,0,18,340.2,36,18.9,2,36.4,1910860
Dwayne Bacon,SG,50,0.694444444,72,1850.4,295.2,25.7,4.1,40.2,1824003
Didi Louzada,SF,0,0,3,56.1,3,18.7,1,23.1,1786878
Carsen Edwards,SG,1,0.032258065,31,275.9,46.5,8.9,1.5,42.3,1782621
Nic Claxton,C,19,0.441860465,43,885.8,163.4,20.6,3.8,67.2,1782621
Yogi Ferrell,PG,0,0,10,136,20,13.6,2,35.1,1782621
Kevin Porter Jr.,SG,23,0.884615385,26,834.6,156,32.1,6,42.5,1782621
Alen Smailagic,PF,1,0.066666667,15,84,10.5,5.6,0.7,40.7,1782621
Khyri Thomas,SG,2,0.4,5,153,66,30.6,13.2,48.5,1762796
Moritz Wagner,C,24,0.533333333,45,720,103.5,16,2.3,45.4,1729217
Paul Watson,SF,2,0.074074074,27,297,37.8,11,1.4,46.3,1701593
Charlie Brown Jr.,SG,1,0.111111111,9,152.1,12.6,16.9,1.4,30.2,1701593
Mfiondu Kabengele,PF,0,0,39,280.8,31.2,7.2,0.8,37.1,1701593
Jarrell Brantley,PF,0,0,28,137.2,25.2,4.9,0.9,48.1,1669178
E'Twaun Moore,SG,1,0.037037037,27,388.8,54,14.4,2,45.5,1669178
Caleb Homesley,G,9,0.6,15,366,139.5,24.4,9.3,40.6,1517981
Elijah Bryant,SG,0,0,1,32,16,32,16,46.2,1517981
Isaiah Todd,PF,0,0,10,41,16,4.1,1.6,29.4,1500000
Jason Preston,PG,19,0.95,20,691,127,34.6,15.7,51.4,1062303
Greg Brown III,SF,2,0.046511628,43,524.6,68.8,12.2,1.6,42.4,925258
