Name,Position,GS,GS/GP,GP,Total Mins,Total Points,MPG,PPG,FG %,Salaries
Kevin Love,PF,3,0.046875,64,1427.2,870,22.3,13.6,42.4,31258256
Tyrese Maxey,PG,63,0.984375,64,2278.4,1113,35.6,17.4,48.5,2602920
Evan Mobley,PF,64,1,64,2188.8,972,34.2,15.2,50.6,8075160
Alperen Sengun,C,8,0.125,64,1254.4,582,19.6,9.1,47.1,3214680
P.J. Tucker,PF,63,0.984375,64,1792,499,28,7.8,48.4,7000000
Precious Achiuwa,C,27,0.428571429,63,1493.1,554,23.7,8.8,43.9,2711280
Carmelo Anthony,PF,3,0.047619048,63,1656.9,850,26.3,13.5,44.4,1669178
Bruce Brown,SF,36,0.571428571,63,1486.8,516,23.6,8.2,49.4,4736102
Facundo Campazzo,PG,4,0.063492063,63,1171.8,327,18.6,5.2,36.4,3200000
Clint Capela,C,62,0.984126984,63,1751.4,686,27.8,10.9,60.4,18603448
Mike Conley,PG,63,1,63,1776.6,850,28.2,13.5,42.5,21000000
Andre Drummond,C,26,0.412698413,63,1203.3,459,19.1,7.3,56.4,1669178
Anthony Edwards,SF,63,1,63,2167.2,1329,34.4,21.1,43.3,10245480
Al Horford,PF,63,1,63,1820.7,630,28.9,10,45.1,27000000
Kevin Huerter,SG,49,0.777777778,63,1845.9,730,29.3,11.6,44.8,4253357
De'Anthony Melton,SG,13,0.206349206,63,1411.2,623,22.4,9.9,38.9,8805976
Dejounte Murray,PG,63,1,63,2186.1,1310,34.7,20.8,46,15428880
Mason Plumlee,C,63,1,63,1575,415,25,6.6,63.7,9248333
Terry Rozier,SG,63,1,63,2142,1234,34,19.6,44.6,17905263
Devin Vassell,SG,24,0.380952381,63,1688.4,743,26.8,11.8,42.6,4235160
Nikola Vucevic,C,63,1,63,2110.5,1134,33.5,18,47.3,24000000
Andrew Wiggins,SF,63,1,63,2003.4,1083,31.8,17.2,46.9,31579390
Daniel Gafford,C,51,0.822580645,62,1252.4,570,20.2,9.2,68.9,1782621
Tobias Harris,PF,62,1,62,2170,1091,35,17.6,48,35995950
Bobby Portis,C,57,0.919354839,62,1785.6,936,28.8,15.1,48,4347600
Payton Pritchard,PG,2,0.032258065,62,830.8,353,13.4,5.7,42,2137440
Will Barton,SG,62,1,62,1965.4,905,31.7,14.6,43.4,15625000
Nemanja Bjelica,PF,0,0,62,973.4,365,15.7,5.9,45.5,1669178
Robert Covington,PF,40,0.64516129,62,1729.8,489,27.9,7.9,39.8,12975471
Montrezl Harrell,C,3,0.048387097,62,1488,855,24,13.8,63.9,9720900
Luke Kennard,SG,11,0.177419355,62,1705,725,27.5,11.7,44.6,13347727
John Konchar,SG,6,0.096774194,62,1109.8,279,17.9,4.5,50,2200000
Raul Neto,PG,18,0.290322581,62,1289.6,489,20.8,7.9,45.4,1669178
Domantas Sabonis,PF,61,0.983870968,62,2139,1171,34.5,18.9,57.3,19800000
Marcus Smart,PG,62,1,62,2027.4,750,32.7,12.1,41.9,14339285
Gary Trent Jr.,SG,61,0.983870968,62,2157.6,1116,34.8,18,40.7,16000000
Gabe Vincent,PG,26,0.419354839,62,1481.8,551,23.9,8.9,41.4,1669178
Mo Bamba,C,59,0.967213115,61,1579.9,628,25.9,10.3,47.8,7568743
Devin Booker,SG,61,1,61,2092.3,1579,34.3,25.9,45.9,31650600
Drew Eubanks,C,21,0.344262295,61,921.1,366,15.1,6,56.5,1762796
Cody Martin,SG,11,0.180327869,61,1628.7,481,26.7,7.9,47.2,1782621
Taurean Prince,PF,8,0.131147541,61,1012.6,427,16.6,7,45.5,13000000
Dennis Schroder,PG,29,0.475409836,61,1762.9,829,28.9,13.6,42.9,5890000
Isaiah Stewart,C,61,1,61,1573.8,500,25.8,8.2,51.3,3277080
Obi Toppin,PF,2,0.032786885,61,902.8,439,14.8,7.2,50.9,5105160
Nickeil Alexander-Walker,SG,21,0.35,60,1428,678,23.8,11.3,37.1,3261480
Dalano Banton,PG,1,0.016666667,60,678,198,11.3,3.3,40.2,925258
R.J. Barrett,SF,60,1,60,2058,1176,34.3,19.6,41.1,8623920
Wendell Carter Jr.,PF,59,0.983333333,60,1788,900,29.8,15,52.4,6920027
Amir Coffey,SG,26,0.433333333,60,1410,522,23.5,8.7,43.7,153488
Jae Crowder,PF,60,1,60,1692,576,28.2,9.6,40.4,9720900
Dewayne Dedmon,C,15,0.25,60,960,372,16,6.2,56.2,1669178
Gary Harris,SG,30,0.5,60,1710,672,28.5,11.2,43.5,20482143
Jaxson Hayes,C,18,0.3,60,1158,546,19.3,9.1,63.3,5348280
Cameron Johnson,SF,13,0.216666667,60,1578,768,26.3,12.8,47.5,4437000
Cory Joseph,SG,34,0.566666667,60,1500,480,25,8,44.8,4910000
Chuma Okeke,PF,12,0.2,60,1458,504,24.3,8.4,38,3277080
Gary Payton II,PG,14,0.233333333,60,1026,426,17.1,7.1,61.2,1669178
Jakob Poeltl,C,59,0.983333333,60,1746,810,29.1,13.5,61.5,8750000
Terrence Ross,SG,0,0,60,1392,606,23.2,10.1,39.7,12500000
Cameron Thomas,SG,2,0.033333333,60,1098,540,18.3,9,43.8,2036280
Grayson Allen,SG,58,0.983050847,59,1622.5,660,27.5,11.2,43.4,4054695
Kyle Anderson,SF,8,0.13559322,59,1262.6,430,21.4,7.3,43.6,9937150
Oshae Brissett,SF,17,0.288135593,59,1298,477,22,8.1,40.5,1701593
Troy Brown Jr.,SF,6,0.101694915,59,967.6,247,16.4,4.2,40.9,5170564
Danilo Gallinari,PF,13,0.220338983,59,1457.3,660,24.7,11.2,42.5,20475000
JaMychal Green,C,7,0.118644068,59,955.8,395,16.2,6.7,48.8,8200000
Isaiah Hartenstein,C,0,0,59,1003,454,17,7.7,63.2,1669178
Tre Jones,PG,6,0.101694915,59,896.8,312,15.2,5.3,48.3,1517981
Furkan Korkmaz,SG,19,0.322033898,59,1327.5,489,22.5,8.3,39.4,4629630
Jonathan Kuminga,PF,8,0.13559322,59,973.5,536,16.5,9.1,51.1,5466360
Khris Middleton,SF,59,1,59,1911.6,1203,32.4,20.4,44.7,35500000
Donovan Mitchell,SG,59,1,59,1988.3,1534,33.7,26,45.1,28103500
Max Strus,SG,10,0.169491525,59,1362.9,619,23.1,10.5,43.5,1669178
Hassan Whiteside,C,8,0.13559322,59,1073.8,477,18.2,8.1,65.1,1669178
Robert Williams III,C,59,1,59,1758.2,584,29.8,9.9,73.2,3661976
Giannis Antetokounmpo,PF,59,1,59,1941.1,1758,32.9,29.8,54.7,39344970
De'Aaron Fox,PG,59,1,59,2082.7,1368,35.3,23.2,47.3,28103550
Tyler Herro,PG,10,0.169491525,59,1923.4,1233,32.6,20.9,44.4,4004280
Nah'Shon Hyland,PG,3,0.050847458,59,1085.6,554,18.4,9.4,39,2096880
Landry Shamet,SG,11,0.186440678,59,1221.3,472,20.7,8,38.2,3768342
Pascal Siakam,PF,59,1,59,2224.3,1298,37.7,22,48.8,33003936
Cole Anthony,PG,58,1,58,1890.8,986,32.6,17,39.2,3449400
Avery Bradley,PG,42,0.724137931,58,1310.8,371,22.6,6.4,41.4,1669178
Jaylen Brown,SG,58,1,58,1960.4,1345,33.8,23.2,46.4,26758928
Reggie Bullock,SG,27,0.465517241,58,1566,487,27,8.4,39.9,9536000
Seth Curry,SG,58,1,58,1960.4,875,33.8,15.1,48.7,8207518
Hamidou Diallo,SF,29,0.5,58,1270.2,638,21.9,11,49.6,5200000
Spencer Dinwiddie,PG,50,0.862068966,58,1763.2,800,30.4,13.8,40.6,17142857
Joel Embiid,C,58,1,58,1937.2,1728,33.4,29.8,48.7,31579390
Darius Garland,PG,58,1,58,2064.8,1241,35.6,21.4,46.7,7040880
Jrue Holiday,PG,55,0.948275862,58,1925.6,1067,33.2,18.4,50.1,32413333
Zach LaVine,SG,58,1,58,2012.6,1426,34.7,24.6,48,19500000
Tre Mann,PG,24,0.413793103,58,1305,591,22.5,10.2,39,2901240
Cedi Osman,SF,3,0.051724138,58,1322.4,638,22.8,11,42.4,8133334
Chris Paul,PG,58,1,58,1914,864,33,14.9,48.7,30000000
D'Angelo Russell,PG,58,1,58,1861.8,1073,32.1,18.5,41.5,30013500
Fred VanVleet,PG,58,1,58,2215.6,1218,38.2,21,40.9,19675926
Jevon Carter,PG,1,0.01754386,57,758.1,228,13.3,4,36.3,441277
Brandon Clarke,PF,1,0.01754386,57,1105.8,581,19.4,10.2,64.8,2726880
Rudy Gobert,C,57,1,57,1818.3,877,31.9,15.4,71.2,35344828
Jalen Green,SG,57,1,57,1778.4,894,31.2,15.7,41.3,8992200
Josh Green,SG,3,0.052631579,57,872.1,267,15.3,4.7,50.2,2957520
Aaron Holiday,PG,14,0.245614035,57,940.5,370,16.5,6.5,46.7,3980551
Isaac Okoro,SG,51,0.894736842,57,1687.2,524,29.6,9.2,47.4,6720720
Austin Rivers,PG,16,0.280701754,57,1248.3,359,21.9,6.3,42.1,1669178
